,Title Key,Title Code,Campus Code,Business Unit,Primary Title,Title Grade,Title Name,TUC,Title
0,00542130,005421,30,DVCMP,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=30
1,00542131,005421,31,DVMED,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=31
2,00542190,005421,90,IRCMP,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=90
3,00542191,005421,91,IRMED,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=91
4,00542140,005421,40,LACMP,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=40
5,00542141,005421,41,LAMED,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=41
6,00542160,005421,60,SDCMP,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=60
7,00542161,005421,61,SDMED,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=61
8,00542120,005421,20,SFCMP,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=20
9,00542121,005421,21,SFMED,DIETITIAN,PD,DIETITIAN PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005421&campus=21
10,00542430,005424,30,DVCMP,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=30
11,00542431,005424,31,DVMED,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=31
12,00542490,005424,90,IRCMP,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=90
13,00542491,005424,91,IRMED,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=91
14,00542440,005424,40,LACMP,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=40
15,00542441,005424,41,LAMED,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=41
16,00542460,005424,60,SDCMP,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=60
17,00542461,005424,61,SDMED,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=61
18,00542420,005424,20,SFCMP,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=20
19,00542421,005424,21,SFMED,DIETITIAN,SR,DIETITIAN SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005424&campus=21
20,00542630,005426,30,DVCMP,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=30
21,00542631,005426,31,DVMED,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=31
22,00542690,005426,90,IRCMP,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=90
23,00542691,005426,91,IRMED,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=91
24,00542640,005426,40,LACMP,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=40
25,00542641,005426,41,LAMED,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=41
26,00542660,005426,60,SDCMP,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=60
27,00542661,005426,61,SDMED,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=61
28,00542620,005426,20,SFCMP,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=20
29,00542621,005426,21,SFMED,DIETITIAN,2,DIETITIAN 2,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=005426&campus=21
30,00711420,007114,20,SFCMP,RECR THER,3 EX,RECR THER 3 EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007114&campus=20
31,00711421,007114,21,SFMED,RECR THER,3 EX,RECR THER 3 EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007114&campus=21
32,00711720,007117,20,SFCMP,RECR THER,3 PD,RECR THER 3 PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007117&campus=20
33,00711721,007117,21,SFMED,RECR THER,3 PD,RECR THER 3 PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007117&campus=21
34,00712120,007121,20,SFCMP,RECR THER,2 PD,RECR THER 2 PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007121&campus=20
35,00712121,007121,21,SFMED,RECR THER,2 PD,RECR THER 2 PD,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007121&campus=21
36,00719041,007190,41,LAMED,CASE MGR,SR,CASE MGR SR,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007190&campus=41
37,00786630,007866,30,DVCMP,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=30
38,00786631,007866,31,DVMED,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=31
39,00786690,007866,90,IRCMP,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=90
40,00786640,007866,40,LACMP,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=40
41,00786641,007866,41,LAMED,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=41
42,00786660,007866,60,SDCMP,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=60
43,00786661,007866,61,SDMED,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=61
44,00786620,007866,20,SFCMP,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=20
45,00786621,007866,21,SFMED,AUDIOLOGIST,SR EX,AUDIOLOGIST SR EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007866&campus=21
46,00786790,007867,90,IRCMP,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=90
47,00786740,007867,40,LACMP,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=40
48,00786741,007867,41,LAMED,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=41
49,00786760,007867,60,SDCMP,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=60
50,00786761,007867,61,SDMED,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=61
51,00786720,007867,20,SFCMP,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=20
52,00786721,007867,21,SFMED,AUDIOLOGIST,EX,AUDIOLOGIST EX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007867&campus=21
53,00786890,007868,90,IRCMP,AUDIOLOGIST,SR NEX,AUDIOLOGIST SR NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007868&campus=90
54,00786891,007868,91,IRMED,AUDIOLOGIST,SR NEX,AUDIOLOGIST SR NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007868&campus=91
55,00786860,007868,60,SDCMP,AUDIOLOGIST,SR NEX,AUDIOLOGIST SR NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007868&campus=60
56,00786861,007868,61,SDMED,AUDIOLOGIST,SR NEX,AUDIOLOGIST SR NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007868&campus=61
57,00786930,007869,30,DVCMP,AUDIOLOGIST,NEX,AUDIOLOGIST NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007869&campus=30
58,00786931,007869,31,DVMED,AUDIOLOGIST,NEX,AUDIOLOGIST NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007869&campus=31
59,00786990,007869,90,IRCMP,AUDIOLOGIST,NEX,AUDIOLOGIST NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007869&campus=90
60,00786991,007869,91,IRMED,AUDIOLOGIST,NEX,AUDIOLOGIST NEX,HX,https://tcs.ucop.edu/tcs/jsp/nonAcademicTitlesDetail.htm?tabId=&titleCode=007869&campus=91
